id,text
111,barusan jajan es krim dengan harga lima puluh tujuh ribu.
112,Barusan gue makan kopi seharga sembilan tujuh ribu.
113,Tadi saya beli es krim seharga enam tujuh ribu.
114,"tadi gue pesen es teh barusan, harganya tiga puluh tiga ribu."
115,Barusan tadi ngemil kopi seharga tiga puluh enam ribu.
116,"aku tadi ngopi bubur, harganya sembilan delapan ribu."
117,"gue jajan pisang goreng tadi, harganya lima lima ribu."
118,"gue barusan makan es krim tadi siang, harga empat puluh enam ribu."
119,"Tadi gue ngemil es teh, harganya sembilan lima ribu."
120,barusan ngopi es krim dengan harga enam satu ribu.
121,"saya jajan teh tarik tadi, harganya empat enam ribu."
122,Tadi gue beli mie ayam seharga lima tiga ribu.
123,"gue barusan barusan jajan pisang goreng, bayar tiga tiga ribu."
124,"aku tadi makan es krim tadi siang, harga tujuh enam ribu."
125,"tadi tadi beli soto, harganya sembilan sembilan ribu."
126,"aku makan mie ayam tadi siang, harga dua lima ribu."
127,"tadi abis ngemil pisang goreng, bayar lima puluh tiga ribu."
128,"saya jajan roti bakar tadi, harganya enam dua ribu."
129,"aku tadi barusan jajan cilok, bayar enam puluh enam ribu."
130,"tadi jajan pisang goreng tadi, harganya enam dua ribu."
131,"gue makan mie ayam tadi siang, harga tiga puluh dua ribu."
132,Tadi tadi gue beli roti bakar seharga tiga tujuh ribu.
133,"tadi gue barusan jajan roti bakar, bayar tujuh sembilan ribu."
134,"tadi gue abis makan ayam geprek, bayar tiga tiga ribu."
135,"barusan makan teh tarik tadi siang, harga lima belas ribu."
136,"gue jajan ayam geprek tadi, harganya tujuh tujuh ribu."
137,"aku tadi barusan jajan bakso, bayar dua satu ribu."
138,"barusan tadi makan bakso, harganya sembilan empat ribu."
139,barusan jajan ayam geprek dengan harga satu puluh ribu.
140,tadi beli pisang goreng dengan harga lima delapan ribu.
141,"tadi abis makan nasi goreng, bayar tujuh tujuh ribu."
142,"tadi gue jajan mie ayam tadi, harganya empat puluh tiga ribu."
143,"tadi makan ayam geprek tadi siang, harga sembilan puluh delapan ribu."
144,"saya pesen kopi barusan, harganya enam puluh ribu."
145,"gue barusan jajan kopi, bayar empat empat ribu."
146,"tadi gue barusan jajan teh tarik, bayar lima tujuh ribu."
147,"barusan jajan jus mangga tadi, harganya tujuh satu ribu."
148,"tadi gue barusan jajan martabak, bayar tiga puluh enam ribu."
149,"saya tadi pesan nasi goreng, harganya delapan puluh tujuh ribu."
150,"aku tadi barusan jajan kopi, bayar enam puluh satu ribu."
151,"gue makan pisang goreng tadi siang, harga tiga belas ribu."
152,gue barusan ngopi cilok dengan harga dua puluh satu ribu.
153,Tadi tadi beli bubur seharga sembilan puluh ribu.
154,"barusan tadi beli roti bakar, harganya tiga lima ribu."
155,"saya makan cilok tadi siang, harga enam sembilan ribu."
156,"aku makan roti bakar tadi siang, harga lima puluh satu ribu."
157,"tadi gue makan es krim tadi siang, harga tiga empat ribu."
158,Barusan gue barusan ngemil ayam geprek seharga sembilan satu ribu.
159,"saya makan kopi tadi siang, harga empat lima ribu."
160,"Tadi gue pesan teh tarik, harganya delapan puluh ribu."
161,"gue barusan tadi ngemil cilok, harganya sembilan tiga ribu."
162,Tadi aku tadi beli mie ayam seharga lima delapan ribu.
163,tadi gue jajan martabak dengan harga sembilan dua ribu.
164,"Tadi gue ngopi mie ayam, harganya delapan delapan ribu."
165,aku ngopi mie ayam dengan harga tujuh puluh delapan ribu.
166,"aku tadi makan teh tarik tadi siang, harga tujuh sembilan ribu."
167,"tadi tadi beli mie ayam, harganya dua tujuh ribu."
168,"Tadi gue ngemil pisang goreng, harganya empat puluh satu ribu."
169,tadi aku abis jajan jus mangga 29ribu
170,barusan gue abis makan es krim 37ribu
171,tadi gue abis ngemil roti bakar 33k
172,tadi aku abis beli bakso malang 53k
173,aku abis makan teh tarik 59rb
174,aku abis makan martabak 35ribu
175,tadi aku abis ngopi bakso malang 27k
176,gue abis pesen martabak 56k
177,barusan aku abis beli mie goreng 23k
178,barusan aku abis pesen sate padang 56k
179,tadi aku abis jajan mie goreng 80rb
180,"tadi aku tadi ngelakuin bayar listrik, keluar 48rb"
181,"tadi aku abis bayar listrik, habis duit 123ribu"
182,tadi saya lagi naik ojek 116k
183,"aku baru aja abis bayar listrik, habis 89rb"
184,"barusan gue baru aja abis cuci motor, habis 28rb"
185,"tadi aku baru aja laundry baju, ngeluarin 72ribu"
186,"gue abis laundry baju, bayar 130rb"
187,tadi gue tadi aja isi pulsa 107k
188,"barusan gue udah servis hp, bayar 138k"
189,"gue barusan ngelakuin bayar listrik, keluar 81rb"
190,aku baru aja bayar listrik 7rb
191,"tadi saya baru aja servis hp, totalnya 25ribu"
192,"tadi saya baru aja beli tiket bioskop, totalnya 136rb"
193,"barusan gue baru aja bayar listrik, habis duit 79ribu"
194,"tadi saya barusan beli pulsa listrik, habis duit 102ribu"
195,"barusan aku lagi cuci motor, ngeluarin 94rb"
196,"barusan aku lagi cuci motor, bayar 139rb"
197,"aku tadi laundry baju, bayar 122rb"
198,barusan gue laundry baju 50ribu
199,"tadi saya abis cuci motor, bayar 89ribu"
200,barusan aku abis makan jus jeruk 40rb
201,aku abis ngemil ayam geprek 76ribu
202,gue abis ngemil nasi goreng 36ribu
203,tadi gue abis ngopi mie ayam 61rb
204,gue abis ngemil nasi goreng 87ribu
205,tadi aku abis beli soto 28rb
206,aku abis ngemil cilok 81k
207,gue abis pesen roti bakar 15ribu
208,gue abis pesen sate ayam 12rb
209,tadi gue abis pesen kopi 12k
210,tadi gue abis jajan mie goreng 70ribu
211,barusan aku abis pesen es krim 43ribu
212,saya abis jajan kopi 48k
213,aku abis ngopi mie ayam 41ribu
214,aku abis jajan roti bakar 46rb
215,barusan gue abis jajan kopi 75k
216,gue abis ngemil sate padang 61k
217,saya abis ngopi roti bakar 36k
218,tadi gue abis beli ayam geprek 32k
219,saya abis jajan es teh 55rb
220,barusan aku abis ngemil nasi goreng 88rb
221,tadi aku abis makan sate ayam 76k
222,barusan aku abis makan soto 88ribu
223,barusan gue abis ngopi nasi goreng 36rb
224,barusan gue abis ngemil bakso malang 16ribu
225,tadi aku abis makan es teh 41ribu
226,tadi aku abis beli pisang goreng 40ribu
227,saya abis beli bubur 64rb
228,aku abis ngemil nasi goreng 50k
229,tadi aku abis jajan jus mangga 20k
230,barusan aku abis beli kopi 14rb
231,barusan gue abis ngopi nasi goreng 72ribu
232,tadi gue abis ngopi jus mangga 78k
233,saya abis ngopi bubur 79ribu
234,aku abis beli es krim 50ribu
235,saya abis jajan sate padang 63k
236,"barusan aku lagi bayar listrik, totalnya 23rb"
237,"tadi gue tadi beli pulsa listrik, totalnya 111ribu"
238,barusan aku naik ojek 10k
239,saya baru aja isi pulsa 122k
240,"barusan aku tadi naik ojek, bayar 100k"
241,"barusan gue abis bayar listrik, keluar duit 144k"
242,tadi aku bayar parkir 48k
243,"gue tadi abis servis hp, habis 143rb"
244,"gue lagi cuci motor, totalnya 110rb"
245,"barusan gue abis laundry baju, bayar 61k"
246,"aku barusan cuci motor, keluar duit 23rb"
247,"tadi saya tadi servis hp, bayar 29ribu"
248,"tadi aku baru aja potong rambut, totalnya 111ribu"
249,gue baru aja laundry baju 92ribu
250,barusan gue servis hp 85rb
251,"barusan aku baru aja beli tiket bioskop, totalnya 15k"
252,gue udah beli tiket bioskop 113ribu
253,barusan gue beli pulsa listrik 14ribu
254,"tadi gue abis beli tiket bioskop, totalnya 61k"
255,"tadi gue tadi servis hp, bayar 36rb"
256,tadi gue abis aja laundry baju 33ribu
257,tadi saya tadi laundry baju 74k
258,tadi gue barusan naik ojek 82ribu
259,"gue lagi isi pulsa, totalnya 49ribu"
260,gue udah laundry baju 98rb
261,"tadi aku tadi ngelakuin potong rambut, keluar 123ribu"
262,"tadi saya abis isi pulsa, totalnya 26ribu"
263,barusan gue baru aja beli tiket bioskop 24rb
264,"tadi saya tadi laundry baju, bayar 140ribu"
265,"tadi saya udah bayar parkir, habis duit 41rb"
266,gue barusan cuci motor 146k
267,"barusan gue baru aja abis bayar listrik, habis 32rb"
268,"tadi aku tadi abis servis hp, habis 45rb"
269,"saya baru aja beli tiket bioskop, totalnya 29rb"
270,tadi saya udah potong rambut 61ribu
271,aku lagi laundry baju 90rb
272,"tadi aku tadi ngelakuin bayar listrik, keluar 48rb"
273,"tadi aku abis bayar listrik, habis duit 123ribu"
274,"tadi saya lagi bayar parkir, habis duit 22ribu"
275,tadi aku potong rambut 117ribu
276,"aku barusan servis hp, bayar 18rb"
277,"gue udah bayar parkir, habis duit 15rb"
278,tadi aku baru aja aja bayar listrik 41rb
279,"tadi gue lagi naik ojek, totalnya 32ribu"
280,"barusan gue lagi isi pulsa, ngeluarin 129k"
281,tadi gue tadi servis hp 25ribu
282,"gue tadi beli pulsa listrik, ngeluarin 37k"
283,"gue baru aja laundry baju, totalnya 94rb"
284,"tadi gue baru aja ngelakuin beli tiket bioskop, keluar 120k"
285,"saya abis isi pulsa, keluar duit 92ribu"
286,barusan gue bayar parkir 128k
287,barusan aku laundry baju 20ribu
288,"tadi gue barusan isi pulsa, bayar 124ribu"
289,"barusan gue barusan ngelakuin servis hp, keluar 42rb"
290,saya abis aja isi pulsa 56rb
291,saya barusan naik ojek 83ribu
292,"barusan gue lagi beli tiket bioskop, totalnya 138k"
293,"tadi saya udah ngelakuin bayar parkir, keluar 108rb"
294,"tadi aku udah ngelakuin potong rambut, keluar 114k"
295,"barusan aku udah potong rambut, totalnya 97k"
296,Beli miras 25000
297,Makan gorengan makan 3 bayar 1 jadi 2000
298,Beli tiket pesawat pulang 2.887.513
299,Sewa 2 LC untuk akhit tahun @875000
300,Makan Ricis bareng gebetan 130000
301,Naik angkot 5000
302,Beli coklat buat surprise 43.500
303,Mie gacoan lapar tengah malam 50k
304,beli bensin 30K
305,beli rokok 45k
306,beli vape pod 200k
307,beli teh hijau 19k
308,beli hand sanityzer 40k
309,beli sandal 453k
310,beli ban motor 59k
311,Bayar wifi 380k
312,Shopee popcorn promo 12.12 dapet harga 60k
313,Grabfood sarapan 30k
314,Beli kopi americano nescafe 5k murah tapi enak
315,Tiket masuk wahana 10k
316,buat bayar sewa rumah 2.500.000
317,susu dan kebutuhan anak 700.000
318,sedangkan buat kebutuhan lain butuh 3.000.000 
319,kemarin aku makan bakmi 50k
320,19 desember beli minuman creme brule enak tapi eneg
321,beli mixue 16k
322,di batavia pik pegel bagus tapi mahal makan aja 200k
